NM,words
인스타감성,"['특색있는', '주택개조', '감각적인', '인테리어예쁜', '힐링', '독특한', '인스타감성']"
아늑한,"['아담한', '따뜻한', '일본감성', '고급스러운', '힐링', '분위기좋은', '아늑한']"
주택개조,"['인테리어예쁜', '힐링', '분위기좋은', '모던한', '감각적인', '인스타감성', '주택개조']"
포근한,"['웨이팅', '나들이', '베이지톤', '아담한', '우드톤', '따뜻한', '포근한']"
힐링,"['인테리어예쁜', '주택개조', '분위기좋은', '아늑한', '아담한', '뷰가좋은', '힐링']"
베이지톤,"['아담한', '포근한', '인테리어예쁜', '힐링', '뷰가좋은', '밝은', '베이지톤']"
우드톤,"['나들이', '소소한', '도란도란', '개방적인', '정갈한', '웨이팅', '우드톤']"
전통있는,"['정감있는', '정겨운', '옛날의', '집밥감성', '한국감성', '신선한', '전통있는']"
숨은,"['이탈리아감성', '중국감성', '분위기좋은', '동남아감성', '고급스러운', '엔틱한', '숨은']"
이탈리아감성,"['숨은', '중국감성', '활기찬', '즐거운', '색다른', '엔틱한', '이탈리아감성']"
오래된,"['추억', '옛날의', '한국감성', '시끌벅적한', '로컬의', '중국감성', '오래된']"
심플한,"['깔끔한', '친절한', '일본감성', '뷰가좋은', '사랑스러운', '쾌적한', '심플한']"
중국감성,"['시끌벅적한', '이탈리아감성', '활기찬', '숨은', '동남아감성', '한국감성', '중국감성']"
어두운,"['레트로감성', '힙한', '음악이있는', '세련된', '조용한', '비쥬얼좋은', '어두운']"
비쥬얼좋은,"['세련된', '감각적인', '고급스러운', '모던한', '분위기좋은', '주택개조', '비쥬얼좋은']"
엔틱한,"['분위기좋은', '즐거운', '쾌적한', '친절한', '예쁜', '뷰가좋은', '엔틱한']"
신선한,"['깨끗한', '집밥감성', '건강한', '정감있는', '심플한', '전통있는', '신선한']"
건강한,"['깨끗한', '간단한', '가벼운', '사랑스러운', '새로운', '청결한', '건강한']"
집밥감성,"['정갈한', '정감있는', '도란도란', '정겨운', '개방적인', '전통있는', '집밥감성']"
나들이,"['웨이팅', '도란도란', '우드톤', '따뜻한', '아담한', '포근한', '나들이']"
조용한,"['예쁜', '모던한', '엔틱한', '분위기좋은', '감각적인', '주택개조', '조용한']"
아담한,"['따뜻한', '아늑한', '일본감성', '웨이팅', '힐링', '깔끔한', '아담한']"
활기찬,"['시끌벅적한', '중국감성', '이탈리아감성', '숨은', '숯불감성', '오래된', '활기찬']"
밝은,"['귀여운', '아기자기한한', '가벼운', '사랑스러운', '뷰가좋은', '베이지톤', '밝은']"
아기자기한한,"['사랑스러운', '뷰가좋은', '밝은', '귀여운', '친절한', '인테리어예쁜', '아기자기한한']"
음악이있는,"['힙한', '세련된', '트렌디한', '레트로감성', '어두운', '독특한', '음악이있는']"
도란도란,"['따뜻한', '나들이', '일본감성', '정갈한', '동남아감성', '깔끔한', '도란도란']"
편한,"['색다른', '즐거운', '쾌적한', '친절한', '숯불감성', '엔틱한', '편한']"
깨끗한,"['건강한', '신선한', '심플한', '친절한', '쾌적한', '색다른', '깨끗한']"
레트로감성,"['어두운', '힙한', '음악이있는', '세련된', '트렌디한', '비쥬얼좋은', '레트로감성']"
귀여운,"['밝은', '아기자기한한', '러블리한', '화이트톤', '가벼운', '사랑스러운', '귀여운']"
러블리한,"['귀여운', '화이트톤', '밝은', '아기자기한한', '베이지톤', '인테리어예쁜', '러블리한']"
가벼운,"['간단한', '건강한', '밝은', '귀여운', '깨끗한', '사랑스러운', '가벼운']"
예쁜,"['엔틱한', '쾌적한', '조용한', '즐거운', '새로운', '편한', '예쁜']"
즐거운,"['편한', '색다른', '쾌적한', '친절한', '엔틱한', '이탈리아감성', '즐거운']"
색다른,"['편한', '즐거운', '쾌적한', '숯불감성', '친절한', '이탈리아감성', '색다른']"
간단한,"['가벼운', '건강한', '깨끗한', '신선한', '청결한', '밝은', '간단한']"
옛날의,"['오래된', '한국감성', '정감있는', '전통있는', '정겨운', '추억', '옛날의']"
로컬의,"['추억', '오래된', '옛날의', '포차감성', '한국감성', '전통있는', '로컬의']"
사랑스러운,"['뷰가좋은', '아기자기한한', '친절한', '심플한', '깔끔한', '일본감성', '사랑스러운']"
뷰가좋은,"['사랑스러운', '아기자기한한', '일본감성', '깔끔한', '심플한', '친절한', '뷰가좋은']"
그리운,"['포차감성', '활기찬', '숯불감성', '시끌벅적한', '신나는', '추억', '그리운']"
신나는,"['그리운', '어두운', '조용한', '레트로감성', '숯불감성', '달달한', '신나는']"
청결한,"['새로운', '소담한', '건강한', '달달한', '예쁜', '화이트톤', '청결한']"
숯불감성,"['색다른', '편한', '즐거운', '쾌적한', '활기찬', '이탈리아감성', '숯불감성']"
추억,"['오래된', '포차감성', '옛날의', '로컬의', '시끌벅적한', '한국감성', '추억']"
화이트톤,"['소담한', '새로운', '귀여운', '청결한', '러블리한', '달달한', '화이트톤']"
개방적인,"['소소한', '정갈한', '우드톤', '집밥감성', '도란도란', '깔끔한', '개방적인']"
포차감성,"['추억', '그리운', '오래된', '시끌벅적한', '활기찬', '로컬의', '포차감성']"
새로운,"['청결한', '소담한', '예쁜', '건강한', '화이트톤', '아기자기한한', '새로운']"
정겨운,"['정감있는', '전통있는', '집밥감성', '옛날의', '한국감성', '동남아감성', '정겨운']"
소담한,"['청결한', '새로운', '달달한', '화이트톤', '예쁜', '건강한', '소담한']"
달달한,"['소담한', '청결한', '새로운', '예쁜', '화이트톤', '쾌적한', '달달한']"
